pipe_age_years,flow_rate_lph,moisture_pct,wall_thickness_mm,corrosion_risk_score
37,4474.5,88.2,7.7,62.58
33,3540.6,131.4,7.0,64.47
23,2858.7,153.7,4.4,63.92
65,947.4,78.8,13.1,93.44
38,3427.8,155.1,11.6,80.72
26,4222.7,86.6,12.1,75.78
49,1073.4,59.7,7.1,72.47
51,4906.7,104.8,2.7,51.65
21,3097.9,135.9,12.9,76.75
40,1383.8,133.8,8.8,96.16
70,4131.6,63.5,13.7,90.62
47,3499.7,85.2,3.7,63.54
37,2521.5,65.9,2.2,50.94
69,1303.4,178.9,5.7,83.93
78,1727.6,175.4,5.4,96.23
37,956.5,150.2,13.9,93.02
80,4883.3,157.2,10.4,104.03
52,1630.4,120.1,4.9,71.36
48,4723.9,56.1,12.8,75.68
20,2617.4,163.9,13.4,87.07
